2025-09-19 11:06:41,902 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:06:41,902 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:06:41,902 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:06:41,906 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/arrhythmia.mat
2025-09-19 11:06:41,906 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 386, Outliers: 66
2025-09-19 11:06:41,907 - Trainer_Run_0 - INFO - Train set: 193 samples (all normal)
2025-09-19 11:06:41,907 - Trainer_Run_0 - INFO - Test set: 259 samples (193 normal, 66 anomalies)
2025-09-19 11:06:41,908 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:06:42,709 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:06:42,959 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.3740, Reconstruction Loss: 0.3740
2025-09-19 11:06:42,964 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.2998, Reconstruction Loss: 0.2998
2025-09-19 11:06:42,968 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.2434, Reconstruction Loss: 0.2434
2025-09-19 11:06:42,971 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.1996, Reconstruction Loss: 0.1996
2025-09-19 11:06:42,975 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.1643, Reconstruction Loss: 0.1643
2025-09-19 11:06:42,979 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.1388, Reconstruction Loss: 0.1388
2025-09-19 11:06:42,983 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.1184, Reconstruction Loss: 0.1184
2025-09-19 11:06:42,986 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.1026, Reconstruction Loss: 0.1026
2025-09-19 11:06:42,990 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0897, Reconstruction Loss: 0.0897
2025-09-19 11:06:42,994 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0781, Reconstruction Loss: 0.0781
2025-09-19 11:06:42,997 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0709, Reconstruction Loss: 0.0709
2025-09-19 11:06:43,001 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0633, Reconstruction Loss: 0.0633
2025-09-19 11:06:43,005 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0601, Reconstruction Loss: 0.0601
2025-09-19 11:06:43,008 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0554, Reconstruction Loss: 0.0554
2025-09-19 11:06:43,012 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0518, Reconstruction Loss: 0.0518
2025-09-19 11:06:43,016 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0483, Reconstruction Loss: 0.0483
