2025-09-19 11:07:42,577 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:07:42,577 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:07:42,577 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:07:42,579 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/annthyroid.mat
2025-09-19 11:07:42,579 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 6666, Outliers: 534
2025-09-19 11:07:42,580 - Trainer_Run_0 - INFO - Train set: 3333 samples (all normal)
2025-09-19 11:07:42,580 - Trainer_Run_0 - INFO - Test set: 3867 samples (3333 normal, 534 anomalies)
2025-09-19 11:07:42,581 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:07:43,372 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:07:43,647 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.1626, Reconstruction Loss: 0.1626
2025-09-19 11:07:43,676 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.0417, Reconstruction Loss: 0.0417
2025-09-19 11:07:43,705 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.0308, Reconstruction Loss: 0.0308
2025-09-19 11:07:43,734 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0204, Reconstruction Loss: 0.0204
2025-09-19 11:07:43,763 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0186, Reconstruction Loss: 0.0186
2025-09-19 11:07:43,791 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0164, Reconstruction Loss: 0.0164
2025-09-19 11:07:43,820 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0149, Reconstruction Loss: 0.0149
2025-09-19 11:07:43,849 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0138, Reconstruction Loss: 0.0138
2025-09-19 11:07:43,878 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0127, Reconstruction Loss: 0.0127
2025-09-19 11:07:43,990 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0117, Reconstruction Loss: 0.0117
2025-09-19 11:07:44,019 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0115, Reconstruction Loss: 0.0115
2025-09-19 11:07:44,048 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0110, Reconstruction Loss: 0.0110
2025-09-19 11:07:44,077 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0102, Reconstruction Loss: 0.0102
2025-09-19 11:07:44,106 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0101, Reconstruction Loss: 0.0101
2025-09-19 11:07:44,134 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0094, Reconstruction Loss: 0.0094
2025-09-19 11:07:44,163 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0087, Reconstruction Loss: 0.0087
2025-09-19 11:07:44,192 - Trainer_Run_0 - INFO - Epoch 17/200 - Total Loss: 0.0081, Reconstruction Loss: 0.0081
2025-09-19 11:07:44,220 - Trainer_Run_0 - INFO - Epoch 18/200 - Total Loss: 0.0080, Reconstruction Loss: 0.0080
2025-09-19 11:07:44,249 - Trainer_Run_0 - INFO - Epoch 19/200 - Total Loss: 0.0076, Reconstruction Loss: 0.0076
2025-09-19 11:07:44,278 - Trainer_Run_0 - INFO - Epoch 20/200 - Total Loss: 0.0074, Reconstruction Loss: 0.0074
2025-09-19 11:07:44,307 - Trainer_Run_0 - INFO - Epoch 21/200 - Total Loss: 0.0069, Reconstruction Loss: 0.0069
2025-09-19 11:07:44,335 - Trainer_Run_0 - INFO - Epoch 22/200 - Total Loss: 0.0066, Reconstruction Loss: 0.0066
2025-09-19 11:07:44,364 - Trainer_Run_0 - INFO - Epoch 23/200 - Total Loss: 0.0065, Reconstruction Loss: 0.0065
