2025-09-19 11:08:51,562 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:08:51,562 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:08:51,562 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:08:51,565 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/mammography.mat
2025-09-19 11:08:51,565 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 10923, Outliers: 260
2025-09-19 11:08:51,566 - Trainer_Run_0 - INFO - Train set: 5461 samples (all normal)
2025-09-19 11:08:51,566 - Trainer_Run_0 - INFO - Test set: 5722 samples (5462 normal, 260 anomalies)
2025-09-19 11:08:51,567 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:08:52,361 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:08:52,656 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.0952, Reconstruction Loss: 0.0952
2025-09-19 11:08:52,702 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.0254, Reconstruction Loss: 0.0254
2025-09-19 11:08:52,747 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.0184, Reconstruction Loss: 0.0184
2025-09-19 11:08:52,793 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0151, Reconstruction Loss: 0.0151
2025-09-19 11:08:52,838 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0131, Reconstruction Loss: 0.0131
2025-09-19 11:08:52,884 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0114, Reconstruction Loss: 0.0114
2025-09-19 11:08:53,014 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0104, Reconstruction Loss: 0.0104
2025-09-19 11:08:53,060 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0095, Reconstruction Loss: 0.0095
2025-09-19 11:08:53,106 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0089, Reconstruction Loss: 0.0089
2025-09-19 11:08:53,152 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0081, Reconstruction Loss: 0.0081
2025-09-19 11:08:53,197 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0074, Reconstruction Loss: 0.0074
2025-09-19 11:08:53,244 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0068, Reconstruction Loss: 0.0068
2025-09-19 11:08:53,289 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0064, Reconstruction Loss: 0.0064
2025-09-19 11:08:53,335 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0062, Reconstruction Loss: 0.0062
2025-09-19 11:08:53,380 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0055, Reconstruction Loss: 0.0055
2025-09-19 11:08:53,426 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0052, Reconstruction Loss: 0.0052
2025-09-19 11:08:53,471 - Trainer_Run_0 - INFO - Epoch 17/200 - Total Loss: 0.0051, Reconstruction Loss: 0.0051
2025-09-19 11:08:53,517 - Trainer_Run_0 - INFO - Epoch 18/200 - Total Loss: 0.0049, Reconstruction Loss: 0.0049
2025-09-19 11:08:53,562 - Trainer_Run_0 - INFO - Epoch 19/200 - Total Loss: 0.0044, Reconstruction Loss: 0.0044
2025-09-19 11:08:53,608 - Trainer_Run_0 - INFO - Epoch 20/200 - Total Loss: 0.0042, Reconstruction Loss: 0.0042
2025-09-19 11:08:53,653 - Trainer_Run_0 - INFO - Epoch 21/200 - Total Loss: 0.0041, Reconstruction Loss: 0.0041
2025-09-19 11:08:53,698 - Trainer_Run_0 - INFO - Epoch 22/200 - Total Loss: 0.0040, Reconstruction Loss: 0.0040
2025-09-19 11:08:53,743 - Trainer_Run_0 - INFO - Epoch 23/200 - Total Loss: 0.0036, Reconstruction Loss: 0.0036
2025-09-19 11:08:53,789 - Trainer_Run_0 - INFO - Epoch 24/200 - Total Loss: 0.0035, Reconstruction Loss: 0.0035
2025-09-19 11:08:53,834 - Trainer_Run_0 - INFO - Epoch 25/200 - Total Loss: 0.0032, Reconstruction Loss: 0.0032
2025-09-19 11:08:53,880 - Trainer_Run_0 - INFO - Epoch 26/200 - Total Loss: 0.0033, Reconstruction Loss: 0.0033
2025-09-19 11:08:53,925 - Trainer_Run_0 - INFO - Epoch 27/200 - Total Loss: 0.0032, Reconstruction Loss: 0.0032
2025-09-19 11:08:53,971 - Trainer_Run_0 - INFO - Epoch 28/200 - Total Loss: 0.0030, Reconstruction Loss: 0.0030
2025-09-19 11:08:54,016 - Trainer_Run_0 - INFO - Epoch 29/200 - Total Loss: 0.0029, Reconstruction Loss: 0.0029
2025-09-19 11:08:54,064 - Trainer_Run_0 - INFO - Epoch 30/200 - Total Loss: 0.0027, Reconstruction Loss: 0.0027
2025-09-19 11:08:54,109 - Trainer_Run_0 - INFO - Epoch 31/200 - Total Loss: 0.0028, Reconstruction Loss: 0.0028
2025-09-19 11:08:54,155 - Trainer_Run_0 - INFO - Epoch 32/200 - Total Loss: 0.0025, Reconstruction Loss: 0.0025
2025-09-19 11:08:54,200 - Trainer_Run_0 - INFO - Epoch 33/200 - Total Loss: 0.0024, Reconstruction Loss: 0.0024
2025-09-19 11:08:54,246 - Trainer_Run_0 - INFO - Epoch 34/200 - Total Loss: 0.0023, Reconstruction Loss: 0.0023
2025-09-19 11:08:54,291 - Trainer_Run_0 - INFO - Epoch 35/200 - Total Loss: 0.0023, Reconstruction Loss: 0.0023
