2025-09-19 11:40:41,171 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:40:41,171 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:40:41,171 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:40:41,175 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/shuttle.mat
2025-09-19 11:40:41,176 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 45586, Outliers: 3511
2025-09-19 11:40:41,179 - Trainer_Run_0 - INFO - Train set: 22793 samples (all normal)
2025-09-19 11:40:41,179 - Trainer_Run_0 - INFO - Test set: 26304 samples (22793 normal, 3511 anomalies)
2025-09-19 11:40:41,184 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:40:41,974 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:40:42,403 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.0502, Reconstruction Loss: 0.0502
2025-09-19 11:40:42,674 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.0136, Reconstruction Loss: 0.0136
2025-09-19 11:40:42,860 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.0095, Reconstruction Loss: 0.0095
2025-09-19 11:40:43,046 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0073, Reconstruction Loss: 0.0073
2025-09-19 11:40:43,231 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0063, Reconstruction Loss: 0.0063
2025-09-19 11:40:43,417 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0050, Reconstruction Loss: 0.0050
2025-09-19 11:40:43,604 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0042, Reconstruction Loss: 0.0042
2025-09-19 11:40:43,790 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0040, Reconstruction Loss: 0.0040
2025-09-19 11:40:43,976 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0034, Reconstruction Loss: 0.0034
2025-09-19 11:40:44,162 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0032, Reconstruction Loss: 0.0032
2025-09-19 11:40:44,348 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0027, Reconstruction Loss: 0.0027
2025-09-19 11:40:44,615 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0025, Reconstruction Loss: 0.0025
2025-09-19 11:40:44,801 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0023, Reconstruction Loss: 0.0023
2025-09-19 11:40:44,987 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0021, Reconstruction Loss: 0.0021
2025-09-19 11:40:45,173 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0020, Reconstruction Loss: 0.0020
