2025-09-19 12:04:07,682 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 12:04:07,682 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 12:04:07,682 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 12:04:07,683 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/letter.mat
2025-09-19 12:04:07,683 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 1500, Outliers: 100
2025-09-19 12:04:07,683 - Trainer_Run_0 - INFO - Train set: 750 samples (all normal)
2025-09-19 12:04:07,683 - Trainer_Run_0 - INFO - Test set: 850 samples (750 normal, 100 anomalies)
2025-09-19 12:04:07,684 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 12:04:08,455 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 12:04:08,712 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.3791, Reconstruction Loss: 0.3791
2025-09-19 12:04:08,721 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.1983, Reconstruction Loss: 0.1983
2025-09-19 12:04:08,732 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.1137, Reconstruction Loss: 0.1137
2025-09-19 12:04:08,742 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0738, Reconstruction Loss: 0.0738
2025-09-19 12:04:08,752 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0610, Reconstruction Loss: 0.0610
2025-09-19 12:04:08,761 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0579, Reconstruction Loss: 0.0579
2025-09-19 12:04:08,771 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0588, Reconstruction Loss: 0.0588
2025-09-19 12:04:08,781 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0558, Reconstruction Loss: 0.0558
2025-09-19 12:04:08,791 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0507, Reconstruction Loss: 0.0507
2025-09-19 12:04:08,800 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0454, Reconstruction Loss: 0.0454
2025-09-19 12:04:08,810 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0401, Reconstruction Loss: 0.0401
