2025-09-19 11:06:33,939 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:06:33,939 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:06:33,939 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:06:33,940 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/pima.mat
2025-09-19 11:06:33,940 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 500, Outliers: 268
2025-09-19 11:06:33,940 - Trainer_Run_0 - INFO - Train set: 250 samples (all normal)
2025-09-19 11:06:33,940 - Trainer_Run_0 - INFO - Test set: 518 samples (250 normal, 268 anomalies)
2025-09-19 11:06:33,941 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:06:34,746 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:06:34,993 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.3425, Reconstruction Loss: 0.3425
2025-09-19 11:06:34,998 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.2415, Reconstruction Loss: 0.2415
2025-09-19 11:06:35,002 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.1755, Reconstruction Loss: 0.1755
2025-09-19 11:06:35,006 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.1235, Reconstruction Loss: 0.1235
2025-09-19 11:06:35,010 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.1015, Reconstruction Loss: 0.1015
2025-09-19 11:06:35,014 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0874, Reconstruction Loss: 0.0874
2025-09-19 11:06:35,018 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0666, Reconstruction Loss: 0.0666
2025-09-19 11:06:35,022 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0558, Reconstruction Loss: 0.0558
2025-09-19 11:06:35,026 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0510, Reconstruction Loss: 0.0510
2025-09-19 11:06:35,029 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0434, Reconstruction Loss: 0.0434
