2025-09-19 11:07:30,434 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:07:30,434 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:07:30,434 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:07:30,435 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/vowels.mat
2025-09-19 11:07:30,435 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 1406, Outliers: 50
2025-09-19 11:07:30,436 - Trainer_Run_0 - INFO - Train set: 703 samples (all normal)
2025-09-19 11:07:30,436 - Trainer_Run_0 - INFO - Test set: 753 samples (703 normal, 50 anomalies)
2025-09-19 11:07:30,436 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:07:31,228 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:07:31,485 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.4330, Reconstruction Loss: 0.4330
2025-09-19 11:07:31,494 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.2194, Reconstruction Loss: 0.2194
2025-09-19 11:07:31,502 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.1154, Reconstruction Loss: 0.1154
2025-09-19 11:07:31,510 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0666, Reconstruction Loss: 0.0666
2025-09-19 11:07:31,517 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0562, Reconstruction Loss: 0.0562
2025-09-19 11:07:31,525 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0604, Reconstruction Loss: 0.0604
2025-09-19 11:07:31,533 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0611, Reconstruction Loss: 0.0611
2025-09-19 11:07:31,540 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0552, Reconstruction Loss: 0.0552
2025-09-19 11:07:31,548 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0477, Reconstruction Loss: 0.0477
2025-09-19 11:07:31,556 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0400, Reconstruction Loss: 0.0400
2025-09-19 11:07:31,563 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0346, Reconstruction Loss: 0.0346
2025-09-19 11:07:31,571 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0313, Reconstruction Loss: 0.0313
2025-09-19 11:07:31,579 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0313, Reconstruction Loss: 0.0313
2025-09-19 11:07:31,586 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0299, Reconstruction Loss: 0.0299
