2025-09-19 11:32:54,397 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:32:54,397 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:32:54,397 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:32:54,402 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/pendigits.mat
2025-09-19 11:32:54,402 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 6714, Outliers: 156
2025-09-19 11:32:54,403 - Trainer_Run_0 - INFO - Train set: 3357 samples (all normal)
2025-09-19 11:32:54,403 - Trainer_Run_0 - INFO - Test set: 3513 samples (3357 normal, 156 anomalies)
2025-09-19 11:32:54,405 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:32:55,198 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:32:55,478 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.2733, Reconstruction Loss: 0.2733
2025-09-19 11:32:55,513 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.0623, Reconstruction Loss: 0.0623
2025-09-19 11:32:55,547 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.0491, Reconstruction Loss: 0.0491
2025-09-19 11:32:55,583 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0354, Reconstruction Loss: 0.0354
2025-09-19 11:32:55,618 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0281, Reconstruction Loss: 0.0281
2025-09-19 11:32:55,652 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0253, Reconstruction Loss: 0.0253
2025-09-19 11:32:55,688 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0232, Reconstruction Loss: 0.0232
2025-09-19 11:32:55,722 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0213, Reconstruction Loss: 0.0213
2025-09-19 11:32:55,758 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0203, Reconstruction Loss: 0.0203
