2025-09-19 11:10:08,699 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:10:08,700 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:10:08,700 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:10:08,701 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/wbc.mat
2025-09-19 11:10:08,701 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 357, Outliers: 21
2025-09-19 11:10:08,701 - Trainer_Run_0 - INFO - Train set: 178 samples (all normal)
2025-09-19 11:10:08,701 - Trainer_Run_0 - INFO - Test set: 200 samples (179 normal, 21 anomalies)
2025-09-19 11:10:08,702 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:10:09,499 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:10:09,749 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.3248, Reconstruction Loss: 0.3248
2025-09-19 11:10:09,753 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.2159, Reconstruction Loss: 0.2159
2025-09-19 11:10:09,757 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.1577, Reconstruction Loss: 0.1577
2025-09-19 11:10:09,761 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.1179, Reconstruction Loss: 0.1179
2025-09-19 11:10:09,764 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0964, Reconstruction Loss: 0.0964
2025-09-19 11:10:09,768 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0778, Reconstruction Loss: 0.0778
2025-09-19 11:10:09,771 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0666, Reconstruction Loss: 0.0666
2025-09-19 11:10:09,775 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0604, Reconstruction Loss: 0.0604
2025-09-19 11:10:09,779 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0545, Reconstruction Loss: 0.0545
2025-09-19 11:10:09,782 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0480, Reconstruction Loss: 0.0480
2025-09-19 11:10:09,786 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0468, Reconstruction Loss: 0.0468
2025-09-19 11:10:09,789 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0470, Reconstruction Loss: 0.0470
2025-09-19 11:10:09,793 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0435, Reconstruction Loss: 0.0435
2025-09-19 11:10:09,796 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0434, Reconstruction Loss: 0.0434
2025-09-19 11:10:09,800 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0439, Reconstruction Loss: 0.0439
2025-09-19 11:10:09,803 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0410, Reconstruction Loss: 0.0410
2025-09-19 11:10:09,807 - Trainer_Run_0 - INFO - Epoch 17/200 - Total Loss: 0.0406, Reconstruction Loss: 0.0406
2025-09-19 11:10:09,810 - Trainer_Run_0 - INFO - Epoch 18/200 - Total Loss: 0.0361, Reconstruction Loss: 0.0361
2025-09-19 11:10:09,814 - Trainer_Run_0 - INFO - Epoch 19/200 - Total Loss: 0.0344, Reconstruction Loss: 0.0344
2025-09-19 11:10:09,817 - Trainer_Run_0 - INFO - Epoch 20/200 - Total Loss: 0.0343, Reconstruction Loss: 0.0343
2025-09-19 11:10:09,821 - Trainer_Run_0 - INFO - Epoch 21/200 - Total Loss: 0.0337, Reconstruction Loss: 0.0337
2025-09-19 11:10:09,824 - Trainer_Run_0 - INFO - Epoch 22/200 - Total Loss: 0.0332, Reconstruction Loss: 0.0332
2025-09-19 11:10:09,828 - Trainer_Run_0 - INFO - Epoch 23/200 - Total Loss: 0.0304, Reconstruction Loss: 0.0304
2025-09-19 11:10:09,831 - Trainer_Run_0 - INFO - Epoch 24/200 - Total Loss: 0.0280, Reconstruction Loss: 0.0280
2025-09-19 11:10:09,835 - Trainer_Run_0 - INFO - Epoch 25/200 - Total Loss: 0.0281, Reconstruction Loss: 0.0281
2025-09-19 11:10:09,838 - Trainer_Run_0 - INFO - Epoch 26/200 - Total Loss: 0.0265, Reconstruction Loss: 0.0265
2025-09-19 11:10:09,842 - Trainer_Run_0 - INFO - Epoch 27/200 - Total Loss: 0.0250, Reconstruction Loss: 0.0250
2025-09-19 11:10:09,845 - Trainer_Run_0 - INFO - Epoch 28/200 - Total Loss: 0.0277, Reconstruction Loss: 0.0277
2025-09-19 11:10:09,849 - Trainer_Run_0 - INFO - Epoch 29/200 - Total Loss: 0.0251, Reconstruction Loss: 0.0251
2025-09-19 11:10:09,852 - Trainer_Run_0 - INFO - Epoch 30/200 - Total Loss: 0.0238, Reconstruction Loss: 0.0238
2025-09-19 11:10:09,856 - Trainer_Run_0 - INFO - Epoch 31/200 - Total Loss: 0.0242, Reconstruction Loss: 0.0242
2025-09-19 11:10:09,859 - Trainer_Run_0 - INFO - Epoch 32/200 - Total Loss: 0.0231, Reconstruction Loss: 0.0231
2025-09-19 11:10:09,863 - Trainer_Run_0 - INFO - Epoch 33/200 - Total Loss: 0.0233, Reconstruction Loss: 0.0233
2025-09-19 11:10:09,866 - Trainer_Run_0 - INFO - Epoch 34/200 - Total Loss: 0.0222, Reconstruction Loss: 0.0222
2025-09-19 11:10:09,870 - Trainer_Run_0 - INFO - Epoch 35/200 - Total Loss: 0.0209, Reconstruction Loss: 0.0209
2025-09-19 11:10:09,873 - Trainer_Run_0 - INFO - Epoch 36/200 - Total Loss: 0.0223, Reconstruction Loss: 0.0223
2025-09-19 11:10:09,877 - Trainer_Run_0 - INFO - Epoch 37/200 - Total Loss: 0.0232, Reconstruction Loss: 0.0232
2025-09-19 11:10:09,880 - Trainer_Run_0 - INFO - Epoch 38/200 - Total Loss: 0.0220, Reconstruction Loss: 0.0220
2025-09-19 11:10:09,884 - Trainer_Run_0 - INFO - Epoch 39/200 - Total Loss: 0.0209, Reconstruction Loss: 0.0209
2025-09-19 11:10:09,887 - Trainer_Run_0 - INFO - Epoch 40/200 - Total Loss: 0.0213, Reconstruction Loss: 0.0213
2025-09-19 11:10:09,891 - Trainer_Run_0 - INFO - Epoch 41/200 - Total Loss: 0.0198, Reconstruction Loss: 0.0198
2025-09-19 11:10:09,894 - Trainer_Run_0 - INFO - Epoch 42/200 - Total Loss: 0.0213, Reconstruction Loss: 0.0213
2025-09-19 11:10:09,898 - Trainer_Run_0 - INFO - Epoch 43/200 - Total Loss: 0.0190, Reconstruction Loss: 0.0190
2025-09-19 11:10:09,901 - Trainer_Run_0 - INFO - Epoch 44/200 - Total Loss: 0.0203, Reconstruction Loss: 0.0203
2025-09-19 11:10:09,905 - Trainer_Run_0 - INFO - Epoch 45/200 - Total Loss: 0.0219, Reconstruction Loss: 0.0219
