2025-09-19 11:08:36,295 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:08:36,295 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:08:36,295 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:08:36,296 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/breastw.mat
2025-09-19 11:08:36,296 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 444, Outliers: 239
2025-09-19 11:08:36,296 - Trainer_Run_0 - INFO - Train set: 222 samples (all normal)
2025-09-19 11:08:36,296 - Trainer_Run_0 - INFO - Test set: 461 samples (222 normal, 239 anomalies)
2025-09-19 11:08:36,297 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:08:37,111 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:08:37,364 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.2481, Reconstruction Loss: 0.2481
2025-09-19 11:08:37,369 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.1577, Reconstruction Loss: 0.1577
2025-09-19 11:08:37,373 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.1153, Reconstruction Loss: 0.1153
2025-09-19 11:08:37,377 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.0867, Reconstruction Loss: 0.0867
2025-09-19 11:08:37,381 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.0703, Reconstruction Loss: 0.0703
2025-09-19 11:08:37,384 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.0641, Reconstruction Loss: 0.0641
2025-09-19 11:08:37,389 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.0513, Reconstruction Loss: 0.0513
2025-09-19 11:08:37,392 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.0469, Reconstruction Loss: 0.0469
2025-09-19 11:08:37,396 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0494, Reconstruction Loss: 0.0494
2025-09-19 11:08:37,400 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0408, Reconstruction Loss: 0.0408
2025-09-19 11:08:37,403 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0423, Reconstruction Loss: 0.0423
2025-09-19 11:08:37,407 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0460, Reconstruction Loss: 0.0460
2025-09-19 11:08:37,410 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0371, Reconstruction Loss: 0.0371
2025-09-19 11:08:37,414 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0406, Reconstruction Loss: 0.0406
2025-09-19 11:08:37,418 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0395, Reconstruction Loss: 0.0395
2025-09-19 11:08:37,421 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0345, Reconstruction Loss: 0.0345
2025-09-19 11:08:37,425 - Trainer_Run_0 - INFO - Epoch 17/200 - Total Loss: 0.0303, Reconstruction Loss: 0.0303
2025-09-19 11:08:37,429 - Trainer_Run_0 - INFO - Epoch 18/200 - Total Loss: 0.0287, Reconstruction Loss: 0.0287
2025-09-19 11:08:37,432 - Trainer_Run_0 - INFO - Epoch 19/200 - Total Loss: 0.0257, Reconstruction Loss: 0.0257
2025-09-19 11:08:37,436 - Trainer_Run_0 - INFO - Epoch 20/200 - Total Loss: 0.0264, Reconstruction Loss: 0.0264
2025-09-19 11:08:37,439 - Trainer_Run_0 - INFO - Epoch 21/200 - Total Loss: 0.0271, Reconstruction Loss: 0.0271
2025-09-19 11:08:37,443 - Trainer_Run_0 - INFO - Epoch 22/200 - Total Loss: 0.0328, Reconstruction Loss: 0.0328
2025-09-19 11:08:37,447 - Trainer_Run_0 - INFO - Epoch 23/200 - Total Loss: 0.0301, Reconstruction Loss: 0.0301
2025-09-19 11:08:37,450 - Trainer_Run_0 - INFO - Epoch 24/200 - Total Loss: 0.0233, Reconstruction Loss: 0.0233
2025-09-19 11:08:37,454 - Trainer_Run_0 - INFO - Epoch 25/200 - Total Loss: 0.0286, Reconstruction Loss: 0.0286
2025-09-19 11:08:37,457 - Trainer_Run_0 - INFO - Epoch 26/200 - Total Loss: 0.0229, Reconstruction Loss: 0.0229
2025-09-19 11:08:37,461 - Trainer_Run_0 - INFO - Epoch 27/200 - Total Loss: 0.0234, Reconstruction Loss: 0.0234
2025-09-19 11:08:37,465 - Trainer_Run_0 - INFO - Epoch 28/200 - Total Loss: 0.0230, Reconstruction Loss: 0.0230
2025-09-19 11:08:37,468 - Trainer_Run_0 - INFO - Epoch 29/200 - Total Loss: 0.0238, Reconstruction Loss: 0.0238
2025-09-19 11:08:37,472 - Trainer_Run_0 - INFO - Epoch 30/200 - Total Loss: 0.0213, Reconstruction Loss: 0.0213
2025-09-19 11:08:37,476 - Trainer_Run_0 - INFO - Epoch 31/200 - Total Loss: 0.0191, Reconstruction Loss: 0.0191
2025-09-19 11:08:37,480 - Trainer_Run_0 - INFO - Epoch 32/200 - Total Loss: 0.0221, Reconstruction Loss: 0.0221
2025-09-19 11:08:37,483 - Trainer_Run_0 - INFO - Epoch 33/200 - Total Loss: 0.0205, Reconstruction Loss: 0.0205
2025-09-19 11:08:37,487 - Trainer_Run_0 - INFO - Epoch 34/200 - Total Loss: 0.0178, Reconstruction Loss: 0.0178
2025-09-19 11:08:37,491 - Trainer_Run_0 - INFO - Epoch 35/200 - Total Loss: 0.0233, Reconstruction Loss: 0.0233
2025-09-19 11:08:37,494 - Trainer_Run_0 - INFO - Epoch 36/200 - Total Loss: 0.0195, Reconstruction Loss: 0.0195
2025-09-19 11:08:37,498 - Trainer_Run_0 - INFO - Epoch 37/200 - Total Loss: 0.0181, Reconstruction Loss: 0.0181
2025-09-19 11:08:37,501 - Trainer_Run_0 - INFO - Epoch 38/200 - Total Loss: 0.0182, Reconstruction Loss: 0.0182
2025-09-19 11:08:37,505 - Trainer_Run_0 - INFO - Epoch 39/200 - Total Loss: 0.0187, Reconstruction Loss: 0.0187
2025-09-19 11:08:37,509 - Trainer_Run_0 - INFO - Epoch 40/200 - Total Loss: 0.0190, Reconstruction Loss: 0.0190
2025-09-19 11:08:37,512 - Trainer_Run_0 - INFO - Epoch 41/200 - Total Loss: 0.0250, Reconstruction Loss: 0.0250
2025-09-19 11:08:37,516 - Trainer_Run_0 - INFO - Epoch 42/200 - Total Loss: 0.0174, Reconstruction Loss: 0.0174
2025-09-19 11:08:37,520 - Trainer_Run_0 - INFO - Epoch 43/200 - Total Loss: 0.0182, Reconstruction Loss: 0.0182
