2025-09-19 11:08:44,163 - Trainer_Run_0 - INFO - Starting run 1
2025-09-19 11:08:44,163 - Trainer_Run_0 - INFO - Using device: cuda:0
2025-09-19 11:08:44,163 - Trainer_Run_0 - INFO - K neighbors for KNN: 5
2025-09-19 11:08:44,164 - Trainer_Run_0 - INFO - Loaded .mat file: ./data_preprocess/data/ionosphere.mat
2025-09-19 11:08:44,164 - Trainer_Run_0 - INFO - Dataset loaded - Inliers: 225, Outliers: 126
2025-09-19 11:08:44,164 - Trainer_Run_0 - INFO - Train set: 112 samples (all normal)
2025-09-19 11:08:44,165 - Trainer_Run_0 - INFO - Test set: 239 samples (113 normal, 126 anomalies)
2025-09-19 11:08:44,165 - Trainer_Run_0 - INFO - Data normalized using MinMaxScaler
2025-09-19 11:08:44,963 - Trainer_Run_0 - INFO - Starting training...
2025-09-19 11:08:45,215 - Trainer_Run_0 - INFO - Epoch 1/200 - Total Loss: 0.6763, Reconstruction Loss: 0.6763
2025-09-19 11:08:45,220 - Trainer_Run_0 - INFO - Epoch 2/200 - Total Loss: 0.4817, Reconstruction Loss: 0.4817
2025-09-19 11:08:45,223 - Trainer_Run_0 - INFO - Epoch 3/200 - Total Loss: 0.3751, Reconstruction Loss: 0.3751
2025-09-19 11:08:45,227 - Trainer_Run_0 - INFO - Epoch 4/200 - Total Loss: 0.2903, Reconstruction Loss: 0.2903
2025-09-19 11:08:45,230 - Trainer_Run_0 - INFO - Epoch 5/200 - Total Loss: 0.2259, Reconstruction Loss: 0.2259
2025-09-19 11:08:45,233 - Trainer_Run_0 - INFO - Epoch 6/200 - Total Loss: 0.1731, Reconstruction Loss: 0.1731
2025-09-19 11:08:45,236 - Trainer_Run_0 - INFO - Epoch 7/200 - Total Loss: 0.1311, Reconstruction Loss: 0.1311
2025-09-19 11:08:45,240 - Trainer_Run_0 - INFO - Epoch 8/200 - Total Loss: 0.1018, Reconstruction Loss: 0.1018
2025-09-19 11:08:45,243 - Trainer_Run_0 - INFO - Epoch 9/200 - Total Loss: 0.0828, Reconstruction Loss: 0.0828
2025-09-19 11:08:45,246 - Trainer_Run_0 - INFO - Epoch 10/200 - Total Loss: 0.0683, Reconstruction Loss: 0.0683
2025-09-19 11:08:45,250 - Trainer_Run_0 - INFO - Epoch 11/200 - Total Loss: 0.0636, Reconstruction Loss: 0.0636
2025-09-19 11:08:45,253 - Trainer_Run_0 - INFO - Epoch 12/200 - Total Loss: 0.0539, Reconstruction Loss: 0.0539
2025-09-19 11:08:45,256 - Trainer_Run_0 - INFO - Epoch 13/200 - Total Loss: 0.0518, Reconstruction Loss: 0.0518
2025-09-19 11:08:45,260 - Trainer_Run_0 - INFO - Epoch 14/200 - Total Loss: 0.0522, Reconstruction Loss: 0.0522
2025-09-19 11:08:45,263 - Trainer_Run_0 - INFO - Epoch 15/200 - Total Loss: 0.0488, Reconstruction Loss: 0.0488
2025-09-19 11:08:45,266 - Trainer_Run_0 - INFO - Epoch 16/200 - Total Loss: 0.0498, Reconstruction Loss: 0.0498
2025-09-19 11:08:45,269 - Trainer_Run_0 - INFO - Epoch 17/200 - Total Loss: 0.0477, Reconstruction Loss: 0.0477
2025-09-19 11:08:45,273 - Trainer_Run_0 - INFO - Epoch 18/200 - Total Loss: 0.0478, Reconstruction Loss: 0.0478
2025-09-19 11:08:45,276 - Trainer_Run_0 - INFO - Epoch 19/200 - Total Loss: 0.0477, Reconstruction Loss: 0.0477
2025-09-19 11:08:45,279 - Trainer_Run_0 - INFO - Epoch 20/200 - Total Loss: 0.0433, Reconstruction Loss: 0.0433
2025-09-19 11:08:45,282 - Trainer_Run_0 - INFO - Epoch 21/200 - Total Loss: 0.0405, Reconstruction Loss: 0.0405
2025-09-19 11:08:45,286 - Trainer_Run_0 - INFO - Epoch 22/200 - Total Loss: 0.0414, Reconstruction Loss: 0.0414
